Samples	Sample description	X4E_BP1_S65	AKT_S473	AKT_T308	AMPKa1_S485	AMPKb1_S108	Bcl2_S70	CC3_D175	cKit_Y703	Cofilin_S3	cPLA2_S505	E_Cadherin	EGFR_Y1068	EGFR_Y1148	EGFR_Y1173	ErbB2_Y1248	ErbB3_Y1289	ERK_T202Y204	FAK_Y576Y577	GSK3ab_S21S9	LC3B	LIMK1_T508_LIMK2_T505	LKB1_S334	IGF1R_Y1135Y1136_IR_Y1150Y1151	mTOR_S2448	p38_MAPK_T180Y182	p90RSK_S380	PAK1_S199S204_PAK2_S192S197	PARP_cleaved_D214	Paxillin_Y118	PDGFRa_Y754	PDGFRb_Y716	PKC_ab_T638T641	PLCg1_Y783	Ret_Y905	Ron_Y1353	SAPK_JNK_T183Y185	Src_Y527	Src_Fam_Y416	cMet	VEGFR2_Y1175	VEGFR2_Y996	PTEN	PTEN_S380	EGFR	Stat3_S727	NFkB_p65_S536	S6_Ribosomal_Protein_S235S236	S6_Ribosomal_Protein_S240S244	SGK1_S78	p53	ALK_Y1586	B_Raf_S445	C_Raf_S338	CREB_S133	Elk1_S383	FKHR_S256	IRS1_S612	MDM2_S166	MEK_12_S217S221	p70_S6_Kinase_T412	Raf_S259	Ras_GRF1_S916	Shc_Y317	Smad1_5_8_SS	Stat5_Y694	MGMT	Met_Y1234Y1235	Cyclin_B1	Cyclin_D1	ERa_S118
HF2927_NP_RPPA	neurosphere	87.80	78.31	5.79	44.28	45.14	63.98	42.38	26.99	253.91	111.63	11.89	28.50	169.20	121.59	2.59	47.16	2.69	57.43	123.63	195.44	64.40	313.16	64.52	81.09	17.72	26.93	8.01	25.13	0.00	13.31	26.35	44.89	87.31	46.61	53.30	30.53	360.41	138.98	131.88	35.99	69.14	4.34	11.06	270.71	87.48	26.94	76.83	240.37	118.47	83.96	25.82	58.41	29.25	15.88	59.87	47.42	60.87	7.71	30.72	44.04	82.10	63.48	37.79	51.66	130.62	0.00	64.16	269.00	146.34	76.69
HF2927_X1394	xenograft	39.44	708.30	572.62	114.89	163.69	62.34	56.60	42.12	303.38	157.32	14.65	166.52	324.90	313.69	15.22	87.00	346.02	101.19	245.51	156.90	138.76	73.47	57.52	106.73	127.47	88.60	21.62	0.00	9.84	14.42	115.37	100.56	276.20	155.59	62.08	89.14	685.94	271.57	133.45	36.01	159.93	23.53	42.41	454.40	143.46	68.72	116.74	260.07	151.50	53.64	96.58	155.19	176.40	167.80	232.42	186.57	156.07	8.53	308.58	265.64	301.93	246.83	63.27	176.01	393.63	26.91	352.06	374.56	229.19	0.09
HF2927_X1399	xenograft	40.05	703.79	590.14	130.18	173.69	63.58	66.77	40.16	320.94	149.28	12.94	116.55	308.10	252.49	18.83	114.10	387.05	110.49	249.29	136.61	182.27	65.72	71.31	122.61	176.40	110.23	23.73	0.00	58.85	21.64	93.24	94.96	256.18	132.90	82.87	98.30	702.55	319.81	142.34	40.16	171.25	24.42	39.91	519.24	162.50	70.90	168.17	305.76	147.49	69.96	97.40	132.73	236.34	81.87	187.56	178.61	83.25	7.39	357.24	372.86	314.62	227.83	98.64	278.46	452.54	25.13	319.83	557.58	255.52	20.80
HF2927_X1400	xenograft	25.33	531.41	427.85	90.37	194.33	66.09	59.80	28.80	336.36	106.09	13.09	38.02	197.96	102.21	8.34	79.03	293.94	79.93	217.37	162.63	158.20	81.36	64.89	134.58	270.20	90.39	15.56	0.00	36.85	11.54	31.91	110.62	194.52	68.33	36.58	75.86	648.82	258.54	169.18	45.88	143.17	50.03	65.20	514.86	167.53	66.64	148.76	347.92	171.44	77.75	115.59	161.26	134.56	120.66	172.78	144.47	86.68	7.94	283.01	316.17	279.42	135.31	44.66		325.55	20.66	146.08	422.64	211.10	63.27
HF3016_T_v1T	tumor	28.49	115.39	60.85	112.95	107.52	21.85	53.01	21.34	8.29	171.37	18.02	19.70	137.89	34.44	5.04	70.87	257.55	43.30	92.99	228.83	68.52	74.09	30.32	182.97	168.13	80.98	17.07	0.00	0.00	11.30	15.26	179.24	30.82	28.69	6.00	97.52	148.64	14.50	93.14	43.86	60.27	43.70	36.25	45.18	77.80	41.21	41.67	86.77	128.72	97.13	35.68	95.09	61.37	115.79	150.37	126.79	105.43	7.50	149.39	187.33	242.05	212.53	36.49	210.91	86.78	32.41	145.51	198.63	226.15	47.98
HF3016_NP_RPPA	neurosphere	47.40	57.38	8.66	46.36	64.72	31.84	33.43	17.56	224.91	179.36	14.69	11.03	104.56	61.52	0.00	22.73	9.21	32.51	81.93	155.77	53.03	280.58	56.23	88.92	14.16	17.48	11.01	50.32	0.00	15.89	12.19	196.47	80.18	9.73	46.18	25.13	236.87	31.79	91.77	33.82	73.42	8.85	3.61	22.89	81.39	27.45	65.28	192.92	109.07	168.76	0.00	68.35	49.79	37.56	71.86	44.27	22.31	4.60	33.47	57.00	126.04	49.49	25.82	29.53	81.17	0.00	35.86	237.25	174.16	64.68
HF3016_X1873	xenograft	48.11	313.79	136.11	102.60	256.00	42.96	51.04	35.70	25.14	200.73	15.87	51.94	210.67	82.47	5.58	208.07	167.14	64.77	170.48	206.19	127.38	82.69	40.45	107.74	73.80	137.82	151.56	3.45	0.00	11.89	34.66	222.61	53.05	56.10	13.12	169.32	381.96	53.03	138.69	43.50	133.52	197.92	172.66	33.16	71.85	51.85	25.70	38.13	158.29	130.03	128.15	254.43	109.01	368.58	135.72	209.26	155.17	9.23	277.21	256.92	235.09	286.05	44.54		146.48	35.77	114.99	338.79	225.64	11.89
HF3016_X1874	xenograft	50.73	199.29	91.69	98.34	208.85	54.92	39.58	29.62	58.52	248.55	13.17	25.35	187.37	52.66	6.87	219.74	171.29	72.19	253.09	189.23	140.15	87.54	37.36	108.99	62.06	126.23	176.43	0.00	0.00	5.88	22.83	205.37	43.24	48.83	5.35	194.82	432.10	57.15	136.04	55.67	143.48	198.09	177.69	33.92	74.90	55.81	25.78	42.47	151.28	139.20	126.48	208.54	100.15	406.38	140.29	153.48	49.69	5.65	270.81	235.93	237.95	259.75		223.42	151.22	43.40	100.66	305.25	247.26	0.00
HF3016_X1875	xenograft	44.50	281.68	125.04	117.96	246.70	73.43	53.00	31.00	141.32	228.47	15.83	26.27	194.07	51.25	13.10	213.64	171.35	79.83	330.28	195.96	141.45	92.91	47.85	123.54	67.05	118.65	140.81	0.00	0.00	14.58	23.67	313.42	52.86	44.19	13.81	184.98	634.13	67.06	153.37	42.30	138.92	180.73	158.09	44.00	99.48	81.63	23.77	35.91	175.86	177.31	144.48	241.10	108.74	403.75	146.12	192.56	74.38	5.51	268.63	233.15	342.93	362.15	48.57	223.82	111.40	18.44	75.55	558.78	294.75	55.11
HF3018_NP_RPPA	neurosphere	52.75	20.70	2.29	56.72	60.21	31.95	23.12	9.19	407.37	121.54	10.90	0.45	103.14	30.49	0.99	1.54	0.35	18.72	76.57	371.26	48.50	162.67	68.93	105.59	5.44	52.86	9.41	2.17	0.00	20.97	1.24	173.24	36.09	0.00	10.26	17.78	266.86	4.43	279.02	38.15	38.07	4.43	0.75	7.74	221.30	27.99	406.99	1207.47	109.76	44.23	0.00	65.00	34.88	24.90	58.75	44.66	112.07	8.39	44.10	78.32	137.94	68.95	8.44	111.52	91.73	10.32	28.66	394.99	106.66	84.63
HF3018_X1723	xenograft	29.95	353.32	211.55	91.30	208.98	60.01	57.10	27.48	655.89	149.80	13.35	0.67	114.56	8.54	0.00	96.57	175.31	31.23	339.25	178.96	109.43	66.54	37.17	82.10	71.54	90.58	42.37	0.00	0.00	16.61	1.69	70.48	23.06	23.65	0.00	60.17	388.07	180.95	105.95	44.71	118.64	43.25	52.40	20.13	62.93	58.13	44.66	105.92	172.97	66.90	98.06	152.87	216.27	359.02	158.16	172.12	54.58	6.15	255.46	207.34	353.96	268.36	19.04	174.11	148.83	37.53	96.55	479.60	324.80	43.36
HF3018_X1725	xenograft	26.52	196.26	162.16	61.79	167.53	42.37	37.23	15.83	633.14	124.63	8.20	0.51	130.26	6.38	6.70	75.86	134.01	35.05	272.64	171.36	111.39	44.97	45.99	81.63	71.34	69.83	106.63	0.00	24.10	0.00	1.79	68.88	32.55	24.51	27.60	114.13	285.56	171.40	93.94	45.49	126.58	91.44	94.01	14.67	58.46	45.96	27.09	70.08	117.79	57.67	78.15	140.21	161.34	327.02	114.03	145.24	47.64	4.57	192.70	180.52	223.55	262.86	12.56	159.12	250.60	3.23	99.15		234.85	183.76
HF3018_X1731	xenograft	25.53	236.37	178.57	56.48	141.00	34.17	17.74	10.64	829.39	148.73	12.50	0.71	131.63	9.17	5.63	96.93	141.98	20.72	365.74	159.05	113.68	38.77	50.51	76.91	57.32	77.43	76.06	0.00	4.99	0.00	2.05	39.97	30.64	31.51	9.32	72.26	425.16	175.77	84.09	19.95	118.03	41.74	52.36	21.82	50.23	52.06	39.31	84.82	149.80	47.02	114.23	135.72	175.34	332.95	123.25	126.53	33.17	4.75	147.00	156.54	231.93			160.02		0.00	142.50	352.28	285.37	129.03
HF3035_T_v1	tumor	10.84	31.55	78.24	69.41	79.68	44.68	19.34	42.21	5.06	58.04	9.98	0.41	84.14	4.81	5.61	15.88	507.21	43.72	52.35	231.95	58.46	51.13	29.08	79.64	827.19	145.44	0.00	0.00	0.00	0.00	4.01	76.70	24.60	5.60	11.00	128.42	43.72	18.99	1057.43	27.14	55.09	73.90	68.35	18.32	217.07	69.73	192.09	268.10	161.50	58.65	115.50	38.53	42.35	20.26	132.41	81.17	52.58	7.51	166.72	291.77	142.23	105.39	6.67	169.47	53.91	29.75	43.37	41.03	48.57	12.10
HF3035_NP_RPPA_z1	neurosphere	37.19	161.85	36.73	89.85	48.02	56.97	55.37	11.74	40.17	160.18	14.89	0.30	111.70	26.12	2.57	31.87	21.29	39.35	188.40	292.19	73.57	172.11	70.93	102.17	37.44	81.12	12.13	13.39	0.00	2.50	1.53	171.92	29.67	2.49	25.61	24.93	65.91	10.44	159.08	36.45	57.85	2.24	5.28	7.29	189.61	35.30	123.53	546.47	119.94	85.20	60.43	112.83	74.98	39.45	64.56	102.87	91.17	7.85	46.58	156.95	177.29	44.48	9.28	25.86	62.41	0.00	4.63	107.32	91.58	60.93
HF3035_X2156	xenograft	22.89	289.91	306.63	78.76	107.67	9.39	10.06	71.19	133.97	65.77	12.12	0.21	99.70	7.05	0.36	18.79	523.30	35.33	174.10	51.94	88.94	59.78	26.30	98.42	61.74	108.12	10.82	0.00	0.00	2.13	1.44	193.30	30.27	15.97	18.87	90.94	85.74	12.13	983.97	44.60	70.35	26.65	45.05	19.20	203.78	76.83	114.13	204.70	113.87	64.08	12.27	89.16	64.88	70.19	150.38	90.60	30.80	8.14	172.99	350.39	343.90	85.16	8.71	110.43	102.25	17.28	194.60	393.52	128.49	58.49
HF3035_X2157	xenograft	30.19	256.67	256.83	80.15	81.27	9.87	27.64	58.46	53.95	80.60	13.39	0.26	101.59	6.77	8.73	0.82	308.87	38.39	118.10	46.23	99.84	58.34	34.05	65.76	47.68	50.17	12.47	0.00	0.00	8.92		197.67	38.14	28.91	7.32	57.55	144.59	0.00	842.20	46.30	41.84	34.50	45.75	13.54	129.02	85.23	68.01	138.64	112.35	64.99	0.00	102.70	91.75	42.37	128.88	67.18	53.71	10.61	200.77	204.69	320.01	132.98	10.15	88.43	125.68	62.94	38.38	327.51	244.47	92.15
HF3035_X2160	xenograft	20.44	363.01	430.07	113.74	187.49	46.82	7.23	26.23	92.94	83.65	18.50	0.00	107.91	5.34	1.57	16.53	546.35	19.61	157.34	50.99	93.56	38.84	27.56	90.89	74.20	80.28	11.85	0.00	0.00	0.00	0.15	323.02	44.49	18.68	0.00	104.83	185.76	0.00	1076.07	54.65	50.50	33.43	46.28	12.87	210.67	87.94	97.39	181.28	130.46	57.05	0.36	96.60	103.39	77.63	176.98	90.64	49.94	14.99	239.05	304.33	407.97	181.40	8.54	170.04	212.02	113.17		192.73	212.16	0.00
HF3055_T_v1	tumor	34.01	65.06	155.72	125.32	154.97	39.43	23.94	70.59	5.47	109.03	24.15	249.19	436.12	453.25	12.49	103.48	323.57	72.89	226.62	193.24	168.90	71.86	50.37	105.51	892.14	93.21	9.94	0.00	0.00	0.05	69.81	82.87	79.23	190.32	30.18	81.88	654.26	219.57	108.42	41.07	120.59	74.08	57.80	1153.88	99.41	78.56	30.51	61.12	161.19	51.85	80.56	100.41	37.05	105.95	106.55	143.45	63.81	61.35	162.33	272.01	354.64	500.45	196.45	122.80	360.31	46.90	484.34	398.81	103.94	2.88
HF137_EP_6	non-tumor brain	25.58	284.22	241.09	97.45	157.84		28.18	37.82	171.02	132.87	12.92	46.86	177.31	96.03	4.47	63.91	328.42	45.89	215.39	122.01	91.51	89.25	47.68	27.06	239.78	96.82	13.60	-5.51	4.99	3.68		174.20	66.66	57.28	19.46	77.12	306.85	90.30	509.36	37.20	90.03	13.56	29.21	204.95	157.92	64.07	100.38	252.04	141.69	63.90	55.32		120.36	172.78	140.14	79.73	73.00	15.41	188.83	245.55	316.08	169.79	47.77	147.23	172.93	36.28	167.61	346.97	209.90	58.19
HF156_EP_3	non-tumor brain	24.75	287.92	245.07	98.31	159.40	42.08	27.52	38.16	163.88	133.14	12.78	47.98	178.52	97.92	4.31	63.04	334.30	45.63	216.75	116.95	90.46	88.70	47.77	21.75	243.33	97.60	11.61	-6.50	4.98	3.29	23.71	176.43	67.29	58.40	19.30	75.92	306.27	90.24	522.34	36.98	89.70	10.11	26.83	209.34	160.32	64.39	100.96	254.23	141.58	62.63	53.90	103.95	121.46	173.96	140.99	76.75	73.23	15.72	188.92	247.48	320.34	167.97	48.68	147.77	173.35	36.78	170.66	349.06	211.30	58.37792269
HF163_EP_5	non-tumor brain	23.92	291.62	249.06	99.17	160.96	42.02	26.85	38.51	156.75	133.41	12.65	49.11	179.73	99.81	4.16	62.18	340.18	45.38	218.11	111.90	89.42	88.16	47.85	16.44	246.88	98.38	9.63	-7.49	4.97	2.90	24.08	178.66	67.92	59.53	19.13	74.72	305.69	90.19	535.31	36.77	89.37	6.66	24.45	213.74	162.72	64.72	101.54	256.41	141.47	61.36	52.48	102.32	122.56	175.15	141.85	73.77	73.46	16.04	189.02	249.41	324.60	166.16	49.57793423	148.32	173.76	37.29	173.7065844	351.16	212.71	58.56
HF2354_T_v1B	tumor	22.26	299.01	257.03	100.89	164.09	41.8853949	25.53	39.20	142.48	133.94	12.39	51.36	182.16	103.60	3.85	60.44	351.94	44.88	220.83	101.79	87.33	87.06	48.03	5.82	253.98	99.93	5.66	-9.48	4.95	2.11	24.81	183.13	69.19	61.78	18.81	72.33	304.53	90.08	561.26	36.34	88.71	-0.23	19.68	222.52	167.52	65.37	102.70	260.78	141.25	58.82	49.63211194	99.05	124.76	177.51	143.55	67.80	73.92	16.67	189.20	253.27	333.13	162.53	51.38	149.41	174.60	38.29	179.81	355.34	215.52	58.93
HF2354_NP_RPPA	neurosphere	21.43	302.70	261.01	101.75	165.65	41.82	24.87	39.55	135.35	134.21	12.25	52.48	183.37	105.49	3.69	59.58	357.82	44.63	222.19	96.74	86.28	86.52	48.12	0.51	257.53	100.70	3.67	-10.47	4.95	1.72	25.17	185.36	69.82	62.91	18.65	71.13	303.95	90.02	574.23	36.12	88.38	-3.68	17.30	226.92	169.93	65.70	103.27	262.96	141.14	57.55	48.21	97.42	125.86	178.70	144.40	64.82	74.14	16.99	189.29	255.20	337.39	160.72	52.28	149.95	175.02	38.80	182.86	357.44	216.92	59.12
HF2354_X1289	xenograft	20.60	306.40	265.00	102.61	167.22	41.75	24.21	39.89	128.22	134.48	12.12	53.61	184.58	107.38	3.53	58.71	363.70	44.38	223.55	91.69	85.24	85.97	48.20	-4.80	261.08	101.48	1.69	-11.46	4.94	1.33	25.54	187.59	70.45	64.03	18.49	69.93	303.37	89.97	587.20	35.91	88.05	-7.13	14.92	231.31	172.33	66.03	103.85	265.14	141.03	56.28	46.79	95.78	126.96	179.88	145.25	61.84	74.37	17.30	189.38	257.13	341.65	158.90	53.18	150.50	175.44	39.30	185.91	359.53	218.33	59.31
HF2354_X1293	xenograft	19.77	310.09	268.98	103.47	168.78	41.69	23.55	40.24	121.08	134.74	11.99	54.73	185.79	109.27	3.38	57.85	369.58	44.13	224.91	86.64	84.20	85.43	48.29	-10.11	264.63	102.25	-0.30	-12.45	4.93	0.94	25.90	189.83	71.08	65.16	18.33	68.74	302.79	89.91	600.17	35.69	87.72	-10.57	12.54	235.71	174.73	66.35	104.43	267.32	140.92	55.01	45.36	94.15	128.06	181.07	146.11	58.85	74.60	17.62	189.47	259.06	345.91	157.09	54.09	151.04	175.86	39.81	188.96	361.62	219.73	59.49
HF2354_X1297	xenograft	18.94	313.79	272.97	104.33	170.34	41.62	22.89	40.59	113.95	135.01	11.86	55.86	187.01	111.17	3.22	56.98	375.46	43.88	226.27	81.58	83.15	84.88	48.38	-15.42	268.18	103.03	-2.28	-13.45	4.92	0.54	26.27	192.06	71.71	66.29	18.17	67.54	302.21	89.86	613.15	35.48	87.39	-14.02	10.15	240.10	177.13	66.68	105.01	269.51	140.81	53.74	43.94	92.51	129.16	182.25	146.96	55.87	74.83	17.93	189.56	261.00	350.18	155.27	54.99	151.59	176.28	40.31	192.01	363.71	221.14	59.68
HF2587_T_v6	tumor	17.28	321.18	280.94	106.04	173.47	41.49	21.57	41.28	99.68	135.55	11.59	58.11	189.43	114.95	2.91	55.25	387.22	43.38	228.98	71.48	81.06	83.79	48.55	-26.04	275.28	104.58	-6.25	-15.43	4.90	-0.24	27.00	196.53	72.97	68.54	17.85	65.14	301.05	89.75	639.09	35.05	86.72	-20.92	5.39	248.89	181.9318186	67.33360972	106.16	273.87	140.5948141	51.20	41.10	89.24	131.36	184.62	148.66	49.91	75.28	18.56	189.74	264.86	358.70	151.64	56.79	152.68	177.12	41.32	198.11	367.90	223.95	60.05
